# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1867

 -> 33 (5000) [1]
11,33,45,12 -> 24 (5914) [5]
11,33,44 -> 35 (10000) [5]
11,33,44,15 -> 54 (10000) [5]
11,33,44,14 -> 54 (10000) [5]
11,33,44,13 -> 54 (10000) [5]
11,33,44,24 -> 45 (10000) [5]
11,33,44,12 -> 54 (10000) [5]
11,33,24 -> 22 (5229) [5]
11,33,24,54 -> 44 (10000) [5]
11,33,24,53 -> 54 (10000) [5]
11,33,24,13 -> 54 (10000) [5]
11,33,24,12 -> 54 (10000) [5]
11,33,24,51 -> 42 (10000) [5]
11,33,24,41 -> 54 (10000) [5]
11,33,24,31 -> 32 (10000) [5]
11,33,24,21 -> 54 (10000) [5]
11,33,14 -> 54 (5192) [5]
11,33,14,15 -> 53 (10000) [5]
11,33,14,44 -> 53 (10000) [5]
11,33,14,53 -> 21 (10000) [5]
11,33,14,13 -> 53 (10000) [5]
11,33,14,42 -> 53 (10000) [5]
11,33,14,22 -> 53 (10000) [5]
11,33,14,12 -> 53 (10000) [5]
11,33,14,51 -> 53 (10000) [5]
11,33,14,41 -> 53 (10000) [5]
11,33,14,31 -> 53 (10000) [5]
11,33,14,21 -> 53 (10000) [5]
11,33,35 -> 45 (3327) [5]
11,33,35,51 -> 12 (7541) [5]
11,33,35,44 -> 12 (20718) [5]
11,33,35,42 -> 22 (10000) [5]
11,33,35,41 -> 12 (10000) [5]
11,33,35,31 -> 12 (10000) [5]
11,33,35,24 -> 12 (7541) [5]
11,33,35,22 -> 12 (10000) [5]
11,33,35,21 -> 12 (10000) [5]
11,33,35,15 -> 22 (10000) [5]
11,33,35,14 -> 12 (10000) [5]
11,33,35,13 -> 23 (10000) [5]
11,33,35,12 -> 13 (1959) [5]
11,33,13 -> 21 (5412) [5]
11,33,13,15 -> 54 (15996) [5]
11,33,13,54 -> 24 (10000) [5]
11,33,13,44 -> 54 (21503) [5]
11,33,13,24 -> 54 (10000) [5]
11,33,13,14 -> 54 (17206) [5]
11,33,13,53 -> 54 (10000) [5]
11,33,13,42 -> 54 (20603) [5]
11,33,13,22 -> 41 (21858) [5]
11,33,13,12 -> 54 (15986) [5]
11,33,13,51 -> 54 (10000) [5]
11,33,13,41 -> 54 (10000) [5]
11,33,13,31 -> 32 (10000) [5]
11,33,24,44 -> 35 (10000) [5]
11,33,24,35 -> 12 (7541) [5]
11,33,24,22 -> 35 (10000) [5]
11,33,24,14 -> 35 (10000) [5]
11,33,22 -> 13 (5699) [5]
11,33,22,15 -> 41 (10000) [5]
11,33,22,45 -> 14 (10000) [5]
11,33,22,24 -> 41 (10000) [5]
11,33,22,14 -> 41 (5914) [5]
11,33,22,35 -> 14 (10000) [5]
11,33,22,13 -> 41 (10000) [5]
