# Auto-generated Opening Book
# Max opening moves: 10
# Format: sequence -> move (score) [depth]
# Generated entries: 1474

 -> 33 (5000) [1]
11,33,45,24,35 -> 34 (10000) [6]
11,33,45,24,14 -> 51 (10000) [6]
11,33,45,24,55 -> 51 (10000) [6]
23,33 -> 25 (-1153) [6]
23,33,51 -> 24 (1989) [6]
23,33,51,52 -> 22 (10000) [6]
23,33,51,52,11 -> 35 (10000) [6]
23,33,51,52,35 -> 11 (10000) [6]
23,33,51,52,34 -> 11 (10000) [6]
23,33,51,52,31 -> 11 (10000) [6]
23,33,51,52,45 -> 11 (10000) [6]
23,33,51,22 -> 54 (10000) [6]
23,33,51,22,52 -> 43 (10000) [6]
23,33,51,22,55 -> 43 (10000) [6]
23,33,51,22,41 -> 43 (10000) [6]
23,33,51,22,45 -> 43 (10000) [6]
23,33,51,22,43 -> 11 (10000) [6]
23,33,51,55 -> 22 (10000) [6]
12,33 -> 14 (-1931) [6]
12,33,54 -> 13 (10000) [6]
12,33,54,51 -> 42 (10000) [6]
12,33,54,51,52 -> 23 (10000) [6]
12,33,54,51,53 -> 52 (10000) [6]
12,33,54,51,24 -> 52 (10000) [6]
12,33,54,51,15 -> 52 (10000) [6]
12,33,54,51,25 -> 52 (10000) [6]
12,33,54,52 -> 51 (10000) [6]
23,33,51,55,11 -> 35 (10000) [6]
23,33,51,55,35 -> 11 (10000) [6]
23,33,51,55,34 -> 11 (10000) [6]
23,33,51,55,31 -> 11 (10000) [6]
23,33,51,55,45 -> 11 (10000) [6]
23,33,51,54 -> 22 (10000) [6]
22,33 -> 41 (264) [6]
22,33,45 -> 34 (1379) [6]
22,33,45,53 -> 43 (2589) [6]
22,33,45,53,21 -> 55 (3086) [6]
22,33,45,53,55 -> 21 (10000) [6]
22,33,45,53,35 -> 21 (10000) [6]
22,33,45,53,54 -> 21 (10000) [6]
22,33,45,53,52 -> 21 (10000) [6]
22,33,45,25 -> 55 (2589) [6]
22,33,45,25,54 -> 21 (10000) [6]
22,33,45,25,31 -> 44 (10000) [6]
22,33,45,25,44 -> 43 (3836) [6]
22,33,45,25,52 -> 21 (10000) [6]
22,33,45,25,53 -> 43 (10000) [6]
22,33,45,55 -> 21 (10000) [6]
22,33,45,55,25 -> 31 (10000) [6]
22,33,45,55,31 -> 25 (10000) [6]
22,33,45,55,52 -> 31 (10000) [6]
22,33,45,55,53 -> 31 (10000) [6]
22,33,45,55,54 -> 31 (10000) [6]
22,33,45,54 -> 55 (2589) [6]
22,33,45,54,21 -> 43 (3794) [6]
22,33,45,54,53 -> 43 (10000) [6]
22,33,45,54,31 -> 44 (10000) [6]
22,33,45,54,35 -> 21 (10000) [6]
22,33,45,54,44 -> 43 (3836) [6]
22,33,45,44 -> 43 (3186) [6]
22,33,45,44,21 -> 53 (3736) [6]
22,33,45,44,53 -> 21 (10000) [6]
22,33,45,44,31 -> 21 (4386) [6]
22,33,45,44,35 -> 21 (10000) [6]
22,33,45,44,54 -> 21 (4386) [6]
22,33,55 -> 53 (1999) [6]
22,33,55,25 -> 54 (2969) [6]
22,33,55,25,12 -> 52 (10000) [6]
22,33,55,25,52 -> 12 (10000) [6]
22,33,55,25,13 -> 12 (10000) [6]
22,33,55,25,53 -> 12 (10000) [6]
22,33,55,25,45 -> 12 (10000) [6]
22,33,55,25,31 -> 34 (10000) [6]
22,33,55,25,35 -> 31 (10000) [6]
22,33,55,25,54 -> 31 (10000) [6]
22,33,55,45 -> 54 (2969) [6]
22,33,55,45,12 -> 52 (10000) [6]
22,33,55,45,52 -> 12 (10000) [6]
22,33,55,45,13 -> 12 (10000) [6]
22,33,55,45,53 -> 12 (10000) [6]
22,33,55,45,25 -> 12 (10000) [6]
22,33,55,35 -> 21 (10000) [6]
22,33,55,35,25 -> 31 (10000) [6]
22,33,55,35,31 -> 24 (10000) [6]
22,33,55,35,52 -> 31 (10000) [6]
22,33,55,35,54 -> 31 (10000) [6]
22,33,55,45,21 -> 25 (10000) [6]
22,33,55,45,31 -> 21 (10000) [6]
